country,co2_per_capita,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,gdp,cluster,cluster_label
Azerbaijan,3.402,4.173,95.827,4.173,109944254894.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.694,3.906,96.094,3.906,123130002462.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.217,4.673,95.327,4.673,136020226283.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.012,7.021,92.979,7.021,144296577620.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.264,4.771,95.229,4.771,145980469968.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.495,3.133,96.867,3.133,149196415149.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.531,2.612,97.388,2.612,157913964589.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.566,2.288,97.712,2.288,162332395164.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.556,2.596,97.404,2.596,164036906588.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.519,3.145,96.855,3.145,159010796104.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.481,2.868,97.132,2.868,159255674569.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.444,2.817,97.183,2.817,161644514845.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.734,2.451,97.549,2.451,165653307401.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.559,1.79,98.21,1.79,158697520949.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.742,1.93,98.07,1.93,167584576527.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.999,2.188,97.812,2.188,175370552026.0,0,"Moderate CO₂, Fossil-heavy"
Bangladesh,0.051,3.634,96.366,3.634,64585771640.0,0,"Moderate CO₂, Fossil-heavy"
Bangladesh,0.049,3.207,96.793,3.207,57036332695.0,0,"Moderate CO₂, Fossil-heavy"
Bangladesh,0.062,4.734,95.266,4.734,57327094687.0,0,"Moderate CO₂, Fossil-heavy"
Bangladesh,0.061,3.26,96.74,3.26,65037827062.0,0,"Moderate CO₂, Fossil-heavy"
Bangladesh,0.062,5.699,94.301,5.699,64196583843.0,0,"Moderate CO₂, Fossil-heavy"
